date,year,month,consumer_credits,consumer_price_index,brent_oil_price,current_account_deficit,exports_usd,imports_usd,export_unit_value_index_usd,gdp,gold_price_lon,import_unit_value_index_usd,B,C,MIG_NRG_X_E,MIG_NDCOG,MIG_ING,MIG_DCOG,MIG_CAG,interest_rates_personal,money_supply,real_effective_echange_rates,retail_sales,unemployment_30-34,ExchangeRate
2009-01-01,2009,1,50740306465.96743,160.9,43.44,-330000000,7884493524,9281137649,95.1,154008418434.46494,870.15,92.4,72.9,48.9,82.4,60.4,49.3,49.2,31.8,22.858,51068253.616260655,95.56,39451353.99654134,13.8,1.5890523809524
2009-02-01,2009,2,48633851279.38222,160.35,43.32,-150000000,8435115834,9074663754,90.9,138470142099.78455,947.38,90.6,60.5,48.0,73.1,56.2,47.7,52.6,34.7,21.4725,52328337.04519596,93.34,11992465.927521847,14.9,1.65236
2009-03-01,2009,3,47101210753.12302,162.12,46.54,-1080000000,8155485081,10522038241,89.8,124888860420.58626,935.5,90.2,72.3,54.5,77.8,62.1,54.9,62.0,41.0,21.8,51541229.553223185,91.39,24695013.200069875,14.5,1.7045363636364
2009-04-01,2009,4,50549030573.92658,162.15,50.18,-1384000000,7561696283,10120319396,91.7,138953835047.1379,894.33,89.6,75.3,56.0,75.1,61.9,57.3,62.4,43.0,19.0125,54815558.69885232,96.1,29769914.982544944,13.0,1.6041523809524
2009-05-01,2009,5,52803571204.23413,163.19,57.3,-1361000000,7346407528,10867698195,93.8,150105797706.06512,942.94,86.4,76.4,59.4,77.0,63.8,60.0,70.9,48.6,20.016,57719733.54588296,97.79,9979812.91230712,11.4,1.5517631578947
2009-06-01,2009,6,53805692807.718376,163.37,68.61,-1912000000,8329692783,12500590854,96.4,157784801152.46738,944.19,89.5,88.7,63.5,80.4,69.7,64.4,78.5,49.7,20.37,59289331.72350344,97.58,57440297.680899985,11.0,1.5397818181818
2009-07-01,2009,7,55036666565.178505,163.78,64.44,-165000000,9055733671,12856285859,97.1,167275034836.61975,934.75,90.1,101.9,62.7,90.5,66.3,65.7,73.4,49.5,19.736,60674459.0103673,98.76,19218232.22241085,11.4,1.5136913043478
2009-08-01,2009,8,56518616359.287895,163.29,72.51,-169000000,7839908842,12811165960,98.6,178101083579.87088,954.38,92.3,103.5,58.1,88.5,64.9,63.1,73.9,36.6,18.5675,62415231.154048376,100.05,69207907.78303981,12.7,1.4792238095238
2009-09-01,2009,9,56923847653.225426,163.93,67.65,-649000000,8480708387,12485004285,100.2,184281196178.36966,1000.19,93.3,91.2,59.4,77.2,64.7,60.1,76.1,48.2,16.447499999999998,67187976.27303515,99.46,2408505.753317668,12.2,1.48523
2009-10-01,2009,10,58745403515.39963,167.88,72.77,684000000,10095768030,12772506117,101.5,187907620738.0575,1040.55,96.9,100.7,68.6,80.9,82.0,68.7,73.5,51.1,17.034,67180321.28422478,101.98,7539154.49977037,11.8,1.4621380952381
2009-11-01,2009,11,59226605827.08554,170.01,76.66,-1673000000,8903010773,12617535430,103.3,186344525196.41464,1113.67,98.7,81.9,62.1,77.4,77.8,59.0,64.3,47.5,15.005,71472815.07375327,101.09,7089736.988093952,11.5,1.4800210526316
2009-12-01,2009,12,59507254130.324814,170.91,74.46,-3171000000,10054591867,15019475471,102.2,184620434749.82703,1130.19,97.4,84.7,67.8,86.0,80.7,64.7,70.6,56.5,15.0675,71587612.03636937,100.54,37366271.16629069,12.0,1.4995130434783
2010-01-01,2010,1,62012950379.180534,174.07,76.17,-2912000000,7828748058,11691248394,100.9,180858174886.7914,1104.31,97.8,68.9,54.2,82.8,59.4,55.7,59.1,42.2,14.956,69611485.21468711,104.55,15889376.807245348,12.8,1.46632
2010-02-01,2010,2,61560606020.351234,176.59,73.75,-2019000000,8263237814,11781611175,98.6,168409872738.38306,1090.25,97.8,65.0,55.8,74.7,59.7,57.1,63.8,45.2,14.4375,69914554.05297697,103.72,9968879.353861686,12.6,1.50556
2010-03-01,2010,3,62056401602.219666,177.62,78.83,-4073000000,9886488171,15022223719,98.7,158283264042.1908,1110.81,98.5,75.3,66.8,82.0,67.9,68.2,80.4,57.9,14.552499999999998,70176236.77143133,101.99,14080565.556794286,12.1,1.5283130434783
2010-04-01,2010,4,65829060709.93204,178.68,84.82,-4127000000,9396006654,14943415664,99.7,171245955647.73267,1151.68,100.7,79.5,64.7,78.8,65.3,68.8,77.5,52.9,14.012,72326676.84419875,105.48,45870208.0632936,10.6,1.4878714285714
2010-05-01,2010,5,65741120044.565926,178.04,75.95,-2655000000,9799958117,14726092099,97.9,174404925924.35736,1206.5,99.0,81.1,67.8,81.2,67.4,71.8,80.8,57.1,14.195,71004752.39525543,103.3,69938590.2443633,9.5,1.534805
2010-06-01,2010,6,66022606227.00397,177.04,74.76,-3083000000,9542907644,15233114061,96.1,178670048022.5048,1233.38,96.7,95.3,70.4,85.6,72.0,74.1,81.4,59.8,14.1125,73777085.30291061,101.11,8501402.234103022,9.3,1.5702863636364
2010-07-01,2010,7,69391698593.74286,176.19,75.58,-3213000000,9564682545,16078478415,98.8,191337349164.2278,1191.8,97.0,97.5,70.0,95.2,72.2,73.5,81.1,58.5,13.744,74869167.51728784,101.31,36492497.80318381,9.4,1.5363136363636
2010-08-01,2010,8,72786999614.70265,176.9,77.04,-2648000000,8523451973,15434037076,98.2,204674593425.54678,1220.13,98.4,99.1,66.4,99.5,72.5,70.6,73.1,50.5,13.0125,78032158.70388192,102.98,9994118.576022035,10.1,1.5016285714286
2010-09-01,2010,9,75013911976.17056,179.07,77.84,-3473000000,8909230521,15643757883,99.4,215416095613.24857,1270.5,99.5,90.0,65.6,84.6,69.7,67.1,79.1,54.7,12.4475,82248166.61797349,104.15,13660370.806929879,9.7,1.488915
2010-10-01,2010,10,81089642006.11931,182.35,82.67,-3051000000,10963586270,17296679730,103.7,226990590264.55923,1336.94,104.4,92.6,76.4,85.2,85.7,77.0,83.8,60.7,12.398,86513733.20361519,108.66,5577142.1118678,9.5,1.41846
2010-11-01,2010,11,82969024872.23701,182.4,85.28,-5874000000,9382369718,17134768305,104.1,226101160367.63925,1379.67,105.2,90.8,68.5,82.2,76.9,68.6,72.5,56.7,12.283333333333331,85990690.70982903,107.11,1158856.8097467904,9.2,1.4295277777778
2010-12-01,2010,12,80856314162.23936,181.85,91.45,-7492000000,11822551699,20558905331,103.9,214426310771.66476,1382.42,104.9,95.9,84.3,94.1,88.3,82.9,85.3,80.9,11.97,89343925.73500422,101.29,13651181.096705582,9.6,1.513147826087
2011-01-01,2011,1,81183333698.53943,182.6,96.52,-5872000000,9551084639,16905384743,107.0,202033097621.22824,1349.13,107.7,84.0,68.4,93.3,70.9,72.4,71.1,56.4,11.915,82499778.33418375,97.65,3725075.3289898233,10.0,1.553819047619
2011-02-01,2011,2,81696565487.1338,183.93,103.72,-5903000000,10059126307,17520186312,109.5,191673802408.76575,1376.25,110.7,78.6,66.9,84.4,68.2,69.2,69.2,60.2,11.9375,82151690.95859948,95.38,30744894.90343246,9.8,1.58283
2011-03-01,2011,3,84376658242.99875,184.7,114.64,-9407000000,11811085160,21643479940,111.7,185976296531.5004,1423.63,113.5,87.2,77.8,93.3,77.7,79.9,86.7,70.6,12.0,85607585.22146766,94.9,12871111.150993649,9.7,1.5746695652174
2011-04-01,2011,4,91074095444.26578,186.3,123.26,-7485000000,11873269447,20953458353,114.6,203324551432.70715,1455.08,117.5,88.4,74.9,85.8,73.4,79.1,85.0,67.1,12.256,90562980.99158259,97.6,9138386.734950647,9.0,1.515619047619
2011-05-01,2011,5,91373758002.94339,190.81,114.99,-7637000000,10943364372,21107025645,114.0,206803973294.61435,1504.0,116.8,100.8,78.4,86.3,75.2,84.4,90.1,70.8,12.7225,89133642.76516123,96.12,10857833.61189534,8.8,1.5641571428571
2011-06-01,2011,6,92794872719.8089,188.08,113.83,-7559000000,11349953558,21605305256,114.7,212535986688.8378,1530.37,116.7,99.7,82.2,87.7,81.1,83.9,93.7,79.1,13.2975,91934268.72702907,92.8,5992458.773308224,7.8,1.5940136363636
2011-07-01,2011,7,92143136982.73538,187.31,116.97,-5089000000,11860004271,21061308166,114.7,215014301148.02737,1568.4,116.9,106.8,79.4,99.6,77.7,83.9,93.1,72.4,16.52,89912266.67823294,88.81,11975810.35828913,7.3,1.6467142857143
2011-08-01,2011,8,88276405853.2854,188.67,110.22,-3681000000,11245124657,19679421257,113.5,211753763821.01556,1757.7,118.7,110.2,76.0,98.1,78.7,80.8,91.2,62.8,17.345,91370786.7263641,83.79,3981488.5473258784,7.5,1.7442380952381
2011-09-01,2011,9,87107330317.80576,190.09,112.83,-6058000000,10750626099,21203687873,110.7,215296244679.07037,1765.9,116.3,103.8,79.2,90.7,79.6,83.3,94.8,70.0,17.258,87796504.1621266,83.37,3422935.7969342726,7.7,1.786519047619
2011-10-01,2011,10,86620707086.76378,196.31,109.55,-4084000000,11907219297,19919209132,109.3,211251720126.03473,1678.4,116.3,109.2,89.2,90.9,97.2,88.9,98.8,79.0,17.2525,85285686.32765548,84.38,45926915.76727786,8.4,1.827080952381
2011-11-01,2011,11,88471682792.6093,199.7,110.77,-5179000000,11078524743,18649309796,109.5,214724767929.41345,1732.38,114.7,104.6,78.3,91.5,84.6,77.7,92.9,69.6,19.085,85014895.96433304,87.09,8471462.889422605,8.5,1.8037842105263
2011-12-01,2011,12,86599289345.56313,200.85,107.87,-6448000000,12477486280,20593899801,108.3,209086423326.25012,1646.4,112.9,114.6,90.5,99.6,91.3,90.5,99.2,91.3,19.698,86727196.92282863,85.29,9698395.782338543,9.1,1.85885
2012-01-01,2012,1,88151368750.7089,201.98,110.69,-5749000000,10348187166,17468975947,108.2,201757644076.19946,1657.75,111.0,89.8,72.1,98.5,77.2,74.2,72.8,61.7,19.9725,81050227.15700121,86.49,8719208.188527782,9.7,1.8389363636364
2012-02-01,2012,2,92818061208.11667,203.12,119.33,-4202000000,11748000124,17787292746,109.7,201804900130.25623,1736.5,112.7,83.2,71.3,93.6,74.4,72.2,74.8,63.7,19.4225,84891422.81408204,90.38,20436617.916998383,10.3,1.7510904761905
2012-03-01,2012,3,92222657670.93481,203.96,125.45,-6210000000,13208572977,20677495770,109.3,188691432972.69888,1675.8,114.6,88.5,82.6,97.1,84.8,83.9,89.8,74.2,18.848,84769642.73397069,88.86,12957646.208279248,9.8,1.7792954545455
2012-04-01,2012,4,93483047914.41927,207.05,119.75,-4512000000,12630226718,19272813948,109.2,197865976155.16,1650.62,115.2,90.3,79.5,85.0,77.6,85.3,87.8,71.2,18.535,86226899.60895361,90.22,18027418.194893923,8.6,1.77984
2012-05-01,2012,5,93666648483.54776,206.61,110.34,-5240000000,13131530961,21750448591,107.6,205125805731.92535,1596.43,112.6,102.3,86.1,88.7,85.4,91.5,92.6,78.7,18.3475,86268587.81271562,90.05,6812199.580097812,7.3,1.7969545454545
2012-06-01,2012,6,94248965380.53246,204.76,95.16,-3876000000,13231198688,20437938448,106.5,212014633864.31012,1588.25,110.3,106.3,84.7,93.6,85.3,89.4,90.0,77.4,18.098000000000003,90661456.59783821,89.42,23607151.858407453,7.3,1.8160714285714
2012-07-01,2012,7,95784725001.57208,204.29,102.62,-3995000000,12830675307,20835202908,106.9,221216992776.33923,1594.93,108.8,113.8,82.3,104.5,83.2,89.0,84.9,72.6,17.865000000000002,88250246.77957386,89.53,26455076.04356806,7.5,1.8048863636364
2012-08-01,2012,8,97805898400.75258,205.43,113.36,-1169000000,12831394572,18828477769,107.7,231548934021.71152,1630.15,109.7,100.9,73.2,100.0,76.9,78.2,81.9,58.5,17.478,91738968.21663754,90.12,5489213.479371052,7.6,1.78584
2012-09-01,2012,9,98324695093.0871,207.55,112.86,-2502000000,12952651722,19924305446,108.8,238215647432.9344,1766.0,111.9,108.3,85.8,94.5,88.4,89.5,97.5,74.5,16.645,96017604.40625295,89.47,3509696.3182838336,7.5,1.79563
2012-10-01,2012,10,99639387394.5177,211.62,111.71,-1051000000,13190769655,18786696814,108.9,239382078321.64713,1742.95,111.9,105.9,84.1,87.5,93.0,85.0,89.2,70.7,16.31,95161861.95057242,90.45,22684257.08138718,7.5,1.79414
2012-11-01,2012,11,101370703072.05467,212.42,109.06,-3991000000,13753052493,20947983268,108.2,241520491192.69653,1719.45,111.7,110.5,91.0,90.6,99.0,92.3,100.0,77.3,15.726,93641536.86745639,91.03,8389512.447842281,7.8,1.78545
2012-12-01,2012,12,103578929355.28717,213.23,109.49,-4781000000,12605476173,19827509254,109.8,243360619257.0275,1676.68,112.7,110.3,90.6,95.4,94.3,91.4,94.3,87.3,14.25,101138503.30157864,90.65,15985661.426785544,8.7,1.7790904761905
2013-01-01,2013,1,106150495220.9638,216.74,112.96,-5431000000,11481521079,18802567909,110.8,237090362729.1043,1663.5,111.89,88.8,76.3,94.0,79.9,80.1,73.1,66.7,14.055,96983707.41839254,92.58,15571274.452453088,9.4,1.7638590909091
2013-02-01,2013,2,107547162167.88847,217.39,116.05,-4690000000,12385690909,19395113678,111.03,227934756180.81744,1631.0,114.0,80.1,76.3,84.2,77.0,78.5,79.4,70.2,13.755,98047499.18781869,91.98,14907686.483890561,9.5,1.769925
2013-03-01,2013,3,107758610743.82787,218.83,108.47,-4676000000,13122058141,20559354566,109.29,215063014115.5374,1593.1,111.99,89.3,85.2,91.0,84.9,90.0,88.3,76.7,13.524,100466965.70060104,91.06,30933389.941267174,9.4,1.8071952380952
2013-04-01,2013,4,111065071966.47572,219.75,102.25,-6669000000,12468202903,22825141704,108.36,226769575358.04675,1495.12,111.09,92.8,86.8,85.6,83.2,92.3,104.7,77.5,13.45,100883122.94736667,91.51,8841887.350600125,8.6,1.7964714285714
2013-05-01,2013,5,112228264561.31958,220.07,102.56,-6193000000,13277209017,23245300682,108.12,233769247277.50262,1409.85,109.33,104.8,91.4,90.0,89.4,97.5,104.6,81.4,12.672,104218621.13507953,90.02,29418554.20424832,8.3,1.8227772727273
2013-06-01,2013,6,111421901177.61322,221.75,102.92,-3813000000,12399973962,21012834975,108.6,234801335965.50034,1316.12,108.8,110.0,90.2,92.3,87.2,95.1,99.8,86.0,11.82,106922393.65324016,87.35,17755408.522520337,7.7,1.89451
2013-07-01,2013,7,112171280396.20361,222.44,107.93,-5636000000,13059519685,22965864226,107.53,239050685178.2141,1279.81,107.53,113.4,92.0,101.6,89.6,97.6,101.1,85.9,12.465,104829667.5082348,87.77,49160728.2927663,7.8,1.9304826086957
2013-08-01,2013,8,112817368304.28032,222.21,111.28,-1740000000,11118300903,18198366236,108.16,244606136116.00192,1334.12,108.89,98.3,75.0,96.3,75.1,81.8,90.7,60.9,13.118,107545234.54875386,87.23,4917446.727733876,8.3,1.9547052631579
2013-09-01,2013,9,111289315729.89783,223.91,111.6,-2542000000,13060371039,20620819473,107.44,245288251751.06052,1348.93,108.83,117.2,95.5,93.7,94.7,100.0,111.2,87.9,13.94,106931059.95972727,84.97,14896092.242464159,8.5,2.0171476190476
2013-10-01,2013,10,114150659819.62477,227.94,109.08,-2765000000,12053704638,19482636677,107.47,248656510940.46594,1307.66,110.36,101.4,87.1,87.0,92.5,88.8,101.8,75.1,13.8125,107323479.51330848,86.67,12957366.248251736,8.7,1.9903166666667
2013-11-01,2013,11,113804776537.03764,227.96,107.79,-3241000000,14201227351,21414219367,107.46,244851423756.44125,1275.75,108.8,105.9,100.8,92.1,105.4,101.5,111.8,91.5,13.774,105650826.53621319,85.24,37723742.70727624,9.0,2.0217476190476
